genotype	light_intensity	treatment	leaf_area_cm2
Col-0	80	KCl	0.827
Col-0	80	KCl	0.697
Col-0	80	KCl	0.789
Col-0	80	KCl	0.515
Col-0	80	KCl	0.598
Col-0	80	KCl	0.594
Col-0	80	KCl	0.634
Col-0	80	KCl	0.503
Col-0	80	KCl	0.443
Col-0	80	KCl	0.614
Col-0	80	KCl	0.756
Col-0	80	KCl	0.776
Col-0	80	KCl	0.669
Col-0	80	KCl	0.708
Col-0	80	KCl	0.606
Col-0	80	KCl	0.761
Col-0	80	KCl	0.642
Col-0	80	KCl	0.662
Col-0	80	KCl	0.557
Col-0	80	KCl	0.466
Col-0	80	KCl	0.606
Col-0	80	KCl	0.558
Col-0	80	KCl	0.723
Col-0	80	KCl	0.578
Col-0	80	KCl	0.788
Col-0	80	KCl	0.83
Col-0	80	KCl	0.574
Col-0	80	KCl	0.578
Col-0	80	KCl	0.701
Col-0	80	KCl	0.522
Col-0	80	KCl	0.608
Col-0	80	KCl	0.547
Col-0	80	NH4+	1.903
Col-0	80	NH4+	1.637
Col-0	80	NH4+	1.592
Col-0	80	NH4+	1.554
Col-0	80	NH4+	1.534
Col-0	80	NH4+	1.504
Col-0	80	NH4+	1.503
Col-0	80	NH4+	1.462
Col-0	80	NH4+	1.449
Col-0	80	NH4+	1.429
Col-0	80	NH4+	1.425
Col-0	80	NH4+	1.414
Col-0	80	NH4+	1.365
Col-0	80	NH4+	1.324
Col-0	80	NH4+	1.32
Col-0	80	NH4+	1.298
Col-0	80	NH4+	1.277
Col-0	80	NH4+	1.261
Col-0	80	NH4+	1.247
Col-0	80	NH4+	1.238
Col-0	80	NH4+	1.218
Col-0	80	NH4+	1.217
Col-0	80	NH4+	1.185
Col-0	80	NH4+	1.181
Col-0	80	NH4+	1.135
Col-0	80	NH4+	1.121
Col-0	80	NH4+	1.102
Col-0	80	NH4+	1.066
Col-0	80	NH4+	0.953
Col-0	80	NH4+	0.942
Col-0	80	NH4+	0.935
Col-0	80	NH4+	0.929
Col-0	80	NO3-	2.644
Col-0	80	NO3-	2.225
Col-0	80	NO3-	2.223
Col-0	80	NO3-	2.921
Col-0	80	NO3-	2.321
Col-0	80	NO3-	2.022
Col-0	80	NO3-	2.791
Col-0	80	NO3-	2.166
Col-0	80	NO3-	2.912
Col-0	80	NO3-	1.927
Col-0	80	NO3-	2.359
Col-0	80	NO3-	2.595
Col-0	80	NO3-	2.167
Col-0	80	NO3-	2.59
Col-0	80	NO3-	2.364
Col-0	80	NO3-	2.318
Col-0	80	NO3-	2.692
Col-0	80	NO3-	2.214
Col-0	80	NO3-	2.35
Col-0	80	NO3-	2.277
Col-0	80	NO3-	2.355
Col-0	80	NO3-	2.339
Col-0	80	NO3-	2.979
Col-0	80	NO3-	1.967
Col-0	80	NO3-	2.339
Col-0	80	NO3-	2.689
Col-0	80	NO3-	2.864
Col-0	80	NO3-	2.724
Col-0	80	NO3-	2.662
Col-0	80	NO3-	2.533
Col-0	80	NO3-	2.823
Col-0	80	NO3-	2.108
Col-0	20	KCl	0.543
Col-0	20	KCl	0.675
Col-0	20	KCl	0.566
Col-0	20	KCl	0.684
Col-0	20	KCl	0.44
Col-0	20	KCl	0.613
Col-0	20	KCl	0.674
Col-0	20	KCl	0.45
Col-0	20	KCl	0.678
Col-0	20	KCl	0.544
Col-0	20	KCl	0.635
Col-0	20	KCl	0.697
Col-0	20	KCl	0.542
Col-0	20	KCl	0.588
Col-0	20	KCl	0.65
Col-0	20	KCl	0.662
Col-0	20	KCl	0.586
Col-0	20	KCl	0.645
Col-0	20	KCl	0.579
Col-0	20	KCl	0.734
Col-0	20	KCl	0.546
Col-0	20	KCl	0.615
Col-0	20	KCl	0.659
Col-0	20	KCl	0.67
Col-0	20	KCl	0.563
Col-0	20	KCl	0.595
Col-0	20	KCl	0.583
Col-0	20	KCl	0.663
Col-0	20	KCl	0.552
Col-0	20	KCl	0.511
Col-0	20	KCl	0.722
Col-0	20	KCl	0.636
Col-0	20	NH4+	1.7
Col-0	20	NH4+	1.209
Col-0	20	NH4+	1.227
Col-0	20	NH4+	1.013
Col-0	20	NH4+	1.587
Col-0	20	NH4+	1.329
Col-0	20	NH4+	1.22
Col-0	20	NH4+	0.856
Col-0	20	NH4+	1.268
Col-0	20	NH4+	0.816
Col-0	20	NH4+	1.084
Col-0	20	NH4+	1.274
Col-0	20	NH4+	1.289
Col-0	20	NH4+	1.447
Col-0	20	NH4+	1.424
Col-0	20	NH4+	1.327
Col-0	20	NH4+	1.201
Col-0	20	NH4+	1.229
Col-0	20	NH4+	1.28
Col-0	20	NH4+	1.226
Col-0	20	NH4+	1.2
Col-0	20	NH4+	1.092
Col-0	20	NH4+	1.213
Col-0	20	NH4+	1.494
Col-0	20	NH4+	1.737
Col-0	20	NH4+	1.204
Col-0	20	NH4+	1.024
Col-0	20	NH4+	1.485
Col-0	20	NH4+	1.364
Col-0	20	NH4+	1.207
Col-0	20	NH4+	1.453
Col-0	20	NH4+	1.397
Col-0	20	NO3-	1.478
Col-0	20	NO3-	1.404
Col-0	20	NO3-	1.467
Col-0	20	NO3-	1.663
Col-0	20	NO3-	1.78
Col-0	20	NO3-	1.342
Col-0	20	NO3-	1.608
Col-0	20	NO3-	1.548
Col-0	20	NO3-	1.635
Col-0	20	NO3-	1.386
Col-0	20	NO3-	1.243
